true_label,pred_অ,pred_আ,pred_ই,pred_ঈ,pred_ঔ
অ,28,4,9,7,0
আ,17,12,3,4,0
ই,22,1,4,5,0
ঈ,13,8,5,4,0
ঔ,1,0,0,0,0
