sample_id,user_id,label,points_checked,mismatches_above_1e-4,mismatch_rate,max_abs_diff
20260728_233302_e8k0ge,user2,ঈ,186,44,0.236559,0.00109
20260728_233333_nvf18a,user2,ঈ,258,115,0.445736,0.003284
20260728_233359_9wg8n4,user2,ঈ,218,75,0.344037,0.001807
20260711_200812_18txgi,user3,অ,187,76,0.406417,0.004003
20260711_200917_z1na4w,user3,অ,240,108,0.45,0.005322
20260711_200954_0muns4,user3,অ,229,92,0.401747,0.002994
20260711_201110_jw6cqh,user3,অ,181,80,0.441989,0.001363
20260711_201208_6ylgz1,user3,অ,226,110,0.486726,0.002504
20260711_201526_9elfv0,user3,অ,218,73,0.334862,0.010772
20260711_201609_iv7642,user3,অ,201,78,0.38806,0.00248
20260711_201811_0znu6g,user3,অ,199,103,0.517588,0.003968
20260711_201916_nc9ara,user3,অ,126,69,0.547619,0.001703
20260711_201953_sai9ew,user3,অ,244,118,0.483607,0.002505
20260711_202025_bntr0i,user3,অ,199,90,0.452261,0.001342
20260711_202714_mwa7m1,user3,অ,172,81,0.47093,0.002653
20260711_202846_kmy51g,user3,অ,124,54,0.435484,0.005527
20260711_203013_i4o0om,user3,অ,179,93,0.519553,0.002615
20260711_203112_15gnzj,user3,অ,157,88,0.56051,0.001483
20260711_205524_jbk5pv,user3,আ,197,100,0.507614,0.001399
20260711_205559_azslan,user3,আ,252,125,0.496032,0.002966
20260711_205630_gydvnp,user3,আ,198,92,0.464646,0.002844
20260711_205707_n57400,user3,আ,157,60,0.382166,0.001131
20260711_205748_usnulf,user3,আ,235,114,0.485106,0.005905
20260711_211455_ab7vb3,user4,অ,535,468,0.874766,0.037887
20260711_214733_y28o8p,user4,অ,651,603,0.926267,0.036099
20260711_214747_h8ad4n,user4,অ,556,519,0.933453,0.146061
20260711_214802_iotb3d,user4,অ,459,431,0.938998,0.046761
20260711_214818_1kqyjw,user4,অ,540,507,0.938889,0.054558
20260711_214838_nmfk2j,user4,অ,760,725,0.953947,0.053803
20260711_214856_wh1jdl,user4,অ,641,584,0.911076,0.180489
20260711_214912_5jyzoq,user4,অ,688,651,0.946221,0.048162
20260711_215025_9ahjj1,user4,অ,782,732,0.936061,0.084363
20260711_215040_totmvz,user4,অ,516,475,0.920543,0.053171
20260711_215057_m3q3bw,user4,অ,942,877,0.930998,0.085215
20260711_215120_wa3iw4,user4,অ,801,745,0.930087,0.057094
20260711_215140_jzmdn9,user4,অ,960,846,0.88125,0.058591
20260711_215153_8dj6mi,user4,অ,570,526,0.922807,0.095383
20260711_215210_14cuph,user4,অ,840,775,0.922619,0.174726
20260711_215224_s1nefb,user4,অ,576,550,0.954861,0.199886
20260711_211553_8q738s,user4,আ,655,590,0.900763,0.051796
20260711_215326_rdw0i7,user4,আ,875,827,0.945143,0.26286
20260711_215355_gtir0d,user4,আ,760,711,0.935526,0.122911
20260711_215413_4z3pac,user4,আ,732,684,0.934426,0.08019
20260711_215505_noe4fp,user4,আ,840,791,0.941667,0.065004
20260711_215527_oaoi6c,user4,আ,1234,1157,0.937601,0.071977
20260711_215554_41w3p4,user4,আ,1344,1259,0.936756,0.067615
20260711_215623_q6sua3,user4,আ,828,770,0.929952,0.060079
20260711_215646_y25z4x,user4,আ,818,747,0.913203,0.096932
20260711_215701_i0we24,user4,আ,682,613,0.898827,0.035981
20260711_215719_fym8k2,user4,আ,928,860,0.926724,0.128521
20260711_215732_e3wli4,user4,আ,585,538,0.919658,0.039196
20260711_215746_pw5glc,user4,আ,827,772,0.933495,0.038612
20260711_215803_gtb1nz,user4,আ,964,894,0.927386,0.08195
20260711_215826_09me7o,user4,আ,1680,1561,0.929167,0.061976
20260711_215850_2a6qfe,user4,আ,1385,1284,0.927076,0.071334
20260711_211613_pni7yl,user4,ই,428,398,0.929907,0.051546
20260711_211631_omhqof,user4,ই,474,417,0.879747,0.044384
20260711_215916_5xq3ym,user4,ই,802,736,0.917706,0.473438
20260711_215928_ckxbi5,user4,ই,519,470,0.905588,0.022608
20260711_215945_ovgs11,user4,ই,767,701,0.91395,0.101265
20260711_215959_axw0jl,user4,ই,604,558,0.923841,0.06236
20260711_220013_x16qxh,user4,ই,504,449,0.890873,0.026083
20260711_220027_1j40u6,user4,ই,617,553,0.896272,0.023889
20260711_220043_yyhe4o,user4,ই,685,604,0.881752,0.058516
20260711_220058_6cy90j,user4,ই,694,633,0.912104,0.032451
20260711_220112_94lc88,user4,ই,712,651,0.914326,0.045434
20260711_220132_3b6d70,user4,ই,886,780,0.880361,0.153333
20260711_220151_kjuuzh,user4,ই,568,528,0.929577,0.053412
20260711_220205_cr3boy,user4,ই,649,589,0.90755,0.023076
20260711_220217_85rgxu,user4,ই,412,368,0.893204,0.059833
20260711_220235_4uai7u,user4,ই,578,512,0.885813,0.060869
20260711_220308_e7l7wm,user4,ই,860,781,0.90814,0.0873
20260711_220404_itceug,user4,ঈ,939,847,0.902023,0.095231
20260711_220444_r35mfs,user4,ঈ,784,695,0.88648,0.972208
20260711_220519_ila5ji,user4,ঈ,973,927,0.952724,0.341417
20260711_220543_7o5bd0,user4,ঈ,1129,1036,0.917626,0.117726
20260711_220606_essesa,user4,ঈ,782,692,0.88491,0.065688
20260711_220641_ufswp1,user4,ঈ,940,842,0.895745,0.033578
20260711_220701_y1rftt,user4,ঈ,881,807,0.916005,0.081724
20260711_220721_h9k2mi,user4,ঈ,1044,946,0.90613,0.094389
20260711_220738_j2qzn6,user4,ঈ,1040,955,0.918269,0.065979
20260711_220751_axw80l,user4,ঈ,659,603,0.915023,0.091996
20260711_220807_mldxj2,user4,ঈ,776,691,0.890464,0.062477
20260711_220822_wgaxvc,user4,ঈ,802,723,0.901496,0.080402
20260711_220837_dby4gx,user4,ঈ,757,683,0.902246,0.050013
20260711_220850_xo5kch,user4,ঈ,660,615,0.931818,0.094741
20260711_220906_ehc737,user4,ঈ,811,760,0.937115,0.092046
20260711_212007_ir5oy0,user5,অ,218,105,0.481651,0.008237
20260711_212041_5epna1,user5,আ,430,291,0.676744,0.039912
20260711_212113_u1rqpt,user5,ই,192,97,0.505208,0.004281
20260711_212139_uwdx5l,user5,ঈ,256,122,0.476562,0.001714
