sample_id,user_id,label,raw_strokes,debounced_strokes,merges,k,duplicate_points_dropped
20260711_201953_sai9ew,user3,অ,16,12,4,3,0
20260711_202025_bntr0i,user3,অ,9,7,2,3,0
20260711_202714_mwa7m1,user3,অ,34,11,23,3,0
20260711_202846_kmy51g,user3,অ,18,11,7,3,0
20260711_203013_i4o0om,user3,অ,27,11,16,3,0
20260711_203112_15gnzj,user3,অ,19,11,8,3,0
20260711_205524_jbk5pv,user3,আ,5,4,1,3,0
20260711_205559_azslan,user3,আ,19,13,6,3,0
20260711_205630_gydvnp,user3,আ,14,10,4,3,0
20260711_205707_n57400,user3,আ,9,5,4,3,0
20260711_205748_usnulf,user3,আ,39,16,23,3,0
20260711_211455_ab7vb3,user4,অ,3,3,0,3,0
20260711_214733_y28o8p,user4,অ,8,4,4,3,0
20260711_214747_h8ad4n,user4,অ,1,1,0,3,0
20260711_214802_iotb3d,user4,অ,5,3,2,3,0
20260711_214818_1kqyjw,user4,অ,1,1,0,3,0
20260711_214838_nmfk2j,user4,অ,3,3,0,3,0
20260711_214856_wh1jdl,user4,অ,8,5,3,3,0
20260711_214912_5jyzoq,user4,অ,3,3,0,3,0
20260711_215025_9ahjj1,user4,অ,10,5,5,3,0
20260711_215040_totmvz,user4,অ,8,6,2,3,0
20260711_215057_m3q3bw,user4,অ,3,3,0,3,0
20260711_215120_wa3iw4,user4,অ,5,5,0,3,0
20260711_215140_jzmdn9,user4,অ,2,2,0,3,0
20260711_215153_8dj6mi,user4,অ,3,3,0,3,0
20260711_215210_14cuph,user4,অ,1,1,0,3,0
20260711_215224_s1nefb,user4,অ,2,2,0,3,0
20260711_211553_8q738s,user4,আ,4,4,0,3,0
20260711_215326_rdw0i7,user4,আ,9,5,4,3,0
20260711_215355_gtir0d,user4,আ,8,5,3,3,0
20260711_215413_4z3pac,user4,আ,4,3,1,3,0
20260711_215505_noe4fp,user4,আ,3,3,0,3,0
20260711_215527_oaoi6c,user4,আ,8,5,3,3,0
20260711_215554_41w3p4,user4,আ,3,3,0,3,0
20260711_215623_q6sua3,user4,আ,8,4,4,3,0
20260711_215646_y25z4x,user4,আ,8,5,3,3,0
20260711_215701_i0we24,user4,আ,12,8,4,3,0
20260711_215719_fym8k2,user4,আ,3,3,0,3,0
20260711_215732_e3wli4,user4,আ,6,6,0,3,0
20260711_215746_pw5glc,user4,আ,1,1,0,3,0
20260711_215803_gtb1nz,user4,আ,2,2,0,3,0
20260711_215826_09me7o,user4,আ,2,2,0,3,0
20260711_215850_2a6qfe,user4,আ,13,7,6,3,0
20260711_211613_pni7yl,user4,ই,3,3,0,3,0
20260711_211631_omhqof,user4,ই,4,3,1,3,0
20260711_215916_5xq3ym,user4,ই,15,9,6,3,0
20260711_215928_ckxbi5,user4,ই,2,2,0,3,0
20260711_215945_ovgs11,user4,ই,4,3,1,3,0
20260711_215959_axw0jl,user4,ই,5,5,0,3,0
20260711_220013_x16qxh,user4,ই,11,6,5,3,0
20260711_220027_1j40u6,user4,ই,4,3,1,3,0
20260711_220043_yyhe4o,user4,ই,5,4,1,3,0
20260711_220058_6cy90j,user4,ই,9,4,5,3,0
20260711_220112_94lc88,user4,ই,8,7,1,3,0
20260711_220132_3b6d70,user4,ই,27,10,17,3,0
20260711_220151_kjuuzh,user4,ই,7,4,3,3,0
20260711_220205_cr3boy,user4,ই,2,2,0,3,0
20260711_220217_85rgxu,user4,ই,18,12,6,3,0
20260711_220235_4uai7u,user4,ই,8,5,3,3,0
20260711_220308_e7l7wm,user4,ই,11,8,3,3,0
20260711_220404_itceug,user4,ঈ,5,4,1,3,0
20260711_220444_r35mfs,user4,ঈ,4,4,0,3,2
20260711_220519_ila5ji,user4,ঈ,10,5,5,3,0
20260711_220543_7o5bd0,user4,ঈ,12,9,3,3,0
20260711_220606_essesa,user4,ঈ,7,5,2,3,0
20260711_220641_ufswp1,user4,ঈ,13,6,7,3,0
20260711_220701_y1rftt,user4,ঈ,10,7,3,3,0
20260711_220721_h9k2mi,user4,ঈ,12,8,4,3,0
20260711_220738_j2qzn6,user4,ঈ,5,2,3,3,0
20260711_220751_axw80l,user4,ঈ,5,3,2,3,0
20260711_220807_mldxj2,user4,ঈ,19,8,11,3,0
20260711_220822_wgaxvc,user4,ঈ,4,3,1,3,0
20260711_220837_dby4gx,user4,ঈ,15,10,5,3,0
20260711_220850_xo5kch,user4,ঈ,7,3,4,3,0
20260711_220906_ehc737,user4,ঈ,4,2,2,3,0
20260711_212007_ir5oy0,user5,অ,3,3,0,3,0
20260711_212041_5epna1,user5,আ,7,5,2,3,0
20260711_212113_u1rqpt,user5,ই,3,3,0,3,0
20260711_212139_uwdx5l,user5,ঈ,4,3,1,3,0
