baseline,outer_fold_id,label,support,precision,recall,f1
trajectory_image_descriptors,0,অ,12,0.714286,0.416667,0.526316
trajectory_image_descriptors,0,আ,10,0.470588,0.8,0.592593
trajectory_image_descriptors,0,ই,10,0.571429,0.4,0.470588
trajectory_image_descriptors,0,ঈ,10,0.454545,0.5,0.47619
trajectory_image_descriptors,1,অ,5,0.666667,0.4,0.5
trajectory_image_descriptors,1,আ,5,0.571429,0.8,0.666667
trajectory_image_descriptors,1,ই,5,0.285714,0.4,0.333333
trajectory_image_descriptors,1,ঈ,5,0.0,0.0,0.0
trajectory_image_descriptors,2,অ,15,0.705882,0.8,0.75
trajectory_image_descriptors,2,আ,5,0.0,0.0,0.0
trajectory_image_descriptors,2,ই,0,0.0,0.0,0.0
trajectory_image_descriptors,2,ঈ,0,0.0,0.0,0.0
trajectory_image_descriptors,3,অ,16,0.666667,0.875,0.756757
trajectory_image_descriptors,3,আ,16,0.75,0.5625,0.642857
trajectory_image_descriptors,3,ই,17,0.785714,0.647059,0.709677
trajectory_image_descriptors,3,ঈ,15,0.588235,0.666667,0.625
