baseline,outer_fold_id,label,support,precision,recall,f1
summary_features,0,অ,12,0.571429,0.666667,0.615385
summary_features,0,আ,10,0.714286,1.0,0.833333
summary_features,0,ই,10,1.0,0.6,0.75
summary_features,0,ঈ,10,0.875,0.7,0.777778
summary_features,1,অ,11,0.375,0.545455,0.444444
summary_features,1,আ,10,0.5,0.3,0.375
summary_features,1,ই,10,0.25,0.4,0.307692
summary_features,1,ঈ,11,0.25,0.090909,0.133333
summary_features,2,অ,15,1.0,0.333333,0.5
summary_features,2,আ,5,1.0,0.6,0.75
summary_features,2,ই,0,0.0,0.0,0.0
summary_features,2,ঈ,0,0.0,0.0,0.0
summary_features,3,অ,16,1.0,0.5,0.666667
summary_features,3,আ,16,0.875,0.875,0.875
summary_features,3,ই,17,0.62963,1.0,0.772727
summary_features,3,ঈ,15,0.846154,0.733333,0.785714
summary_features,4,অ,1,0.0,0.0,0.0
summary_features,4,আ,1,0.5,1.0,0.666667
summary_features,4,ই,1,1.0,1.0,1.0
summary_features,4,ঈ,1,1.0,1.0,1.0
