baseline,outer_fold_id,selected_config,train_samples,test_samples,missing_test_labels_from_train,accuracy,balanced_accuracy,macro_f1,top2_accuracy,median_inference_ms,model_parameters,estimated_model_memory_bytes
summary_features,0,ridge_alpha_10.0,130,42,,0.738095,0.741667,0.744124,0.857143,0.0268,460,5504
summary_features,1,ridge_alpha_1.0,130,42,,0.333333,0.334091,0.315117,0.738095,0.031964,460,5504
summary_features,2,ridge_alpha_10.0,152,20,,0.4,0.466666,0.625,0.8,0.027316,460,5504
summary_features,3,ridge_alpha_10.0,108,64,,0.78125,0.777083,0.775027,0.9375,0.027166,460,5504
summary_features,4,ridge_alpha_10.0,168,4,,0.75,0.75,0.666667,1.0,0.031585,460,5504
