baseline,outer_fold_id,selected_config,train_samples,test_samples,missing_test_labels_from_train,accuracy,balanced_accuracy,macro_f1,top2_accuracy,median_inference_ms,model_parameters,estimated_model_memory_bytes
trajectory_image_descriptors,0,knn_k_5,146,1,ঔ,0.0,0.0,0.0,0.0,0.146549,13578,109512
trajectory_image_descriptors,1,ridge_alpha_10.0,105,42,,0.5,0.504167,0.49631,0.857143,0.03301,465,5192
trajectory_image_descriptors,2,knn_k_3,127,20,,0.4,0.4,0.375,0.7,0.091176,11811,95452
trajectory_image_descriptors,3,knn_k_5,127,20,,0.6,0.4,0.375,0.95,0.156479,11811,95452
trajectory_image_descriptors,4,knn_k_1,83,64,,0.703125,0.704473,0.706063,0.8125,0.125534,7719,62892
