true_label,pred_অ,pred_আ,pred_ই,pred_ঈ,pred_ঔ
অ,16,11,14,7,0
আ,3,28,2,3,0
ই,4,2,17,9,0
ঈ,4,1,6,19,0
ঔ,0,0,1,0,0
