sample_id,user_id,label,created_at,device,image_path,ink_density,ink_intensity_mean,ink_intensity_std,ink_intensity_sum,image_centroid_x,image_centroid_y,image_std_x,image_std_y,image_bbox_width,image_bbox_height,image_bbox_aspect,proj_x_00,proj_x_01,proj_x_02,proj_x_03,proj_x_04,proj_x_05,proj_x_06,proj_x_07,proj_x_08,proj_x_09,proj_x_10,proj_x_11,proj_x_12,proj_x_13,proj_x_14,proj_x_15,proj_y_00,proj_y_01,proj_y_02,proj_y_03,proj_y_04,proj_y_05,proj_y_06,proj_y_07,proj_y_08,proj_y_09,proj_y_10,proj_y_11,proj_y_12,proj_y_13,proj_y_14,proj_y_15,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_0_6,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_1_6,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_2_6,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_3_6,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5,zone_4_6,zone_5_0,zone_5_1,zone_5_2,zone_5_3,zone_5_4,zone_5_5,zone_5_6,zone_6_0,zone_6_1,zone_6_2,zone_6_3,zone_6_4,zone_6_5,zone_6_6
20260704_230601_9fuwl5,user1,অ,2026-07-04T17:06:01.169Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230601_9fuwl5.png,0.060328,0.052911,0.217592,2654.862549,0.561159,0.36879,0.125796,0.11507,0.455357,0.410714,1.108696,0.0,0.0,0.0,0.0,0.02574,0.084763,0.103688,0.056547,0.179731,0.195502,0.129164,0.224863,0.0,0.0,0.0,0.0,0.0,0.0,0.014381,0.195826,0.167132,0.129077,0.168403,0.146119,0.167342,0.01172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111,0.213768,0.301712,0.306227,0.005047,0.0,0.0,0.0,0.220412,0.106024,0.459126,0.079362,0.0,0.0,0.0,0.096419,0.301662,0.370175,0.131101,0.0,0.0,0.0,0.0,0.000797,0.000257,0.00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230631_iep9zz,user1,অ,2026-07-04T17:06:31.754Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230631_iep9zz.png,0.058375,0.051686,0.215422,2593.372559,0.555733,0.300127,0.118723,0.104319,0.459821,0.366071,1.256098,0.0,0.0,0.0,0.0,0.005367,0.083014,0.127613,0.107919,0.156934,0.148132,0.227529,0.140055,0.003437,0.0,0.0,0.0,0.0,0.0,0.166374,0.251115,0.143458,0.11854,0.188964,0.127966,0.003582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.384808,0.409478,0.500846,3.8e-05,0.0,0.0,0.0,0.11803,0.160179,0.415924,0.151769,0.0,0.0,0.0,0.0,0.205381,0.145247,0.04079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260709_222041_giojuy,user1,অ,2026-07-09T16:20:41.439Z,Linux Chrome desktop,output/user1/অ/অ_20260709_222041_giojuy.png,0.102061,0.090557,0.279067,4543.800293,0.679671,0.420854,0.176296,0.15474,0.642857,0.5625,1.142857,0.0,0.0,0.0,0.0,0.020933,0.07891,0.030753,0.061363,0.059569,0.0901,0.088459,0.108859,0.174577,0.208272,0.078181,2.4e-05,0.0,6e-06,0.06998,0.072002,0.156768,0.132849,0.136722,0.07659,0.111455,0.104022,0.139004,0.000602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009877,0.0,0.0,0.0,0.096561,0.0,0.144202,0.458506,0.265951,0.0,0.0,0.326061,0.102757,0.433035,0.631882,0.000149,0.0,0.0,0.138584,0.34689,0.05136,0.321438,0.110405,0.0,0.0,0.0,0.162623,0.275203,0.345994,0.215828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230720_4nlmlz,user1,আ,2026-07-04T17:07:20.785Z,Linux Chrome desktop,output/user1/আ/আ_20260704_230720_4nlmlz.png,0.090222,0.080383,0.264664,4033.301758,0.472566,0.359862,0.136142,0.127191,0.522321,0.464286,1.125,0.0,0.0,0.011045,0.064344,0.110373,0.061238,0.10589,0.179402,0.140631,0.179657,0.147417,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.007988,0.284076,0.160475,0.097519,0.137486,0.118513,0.134476,0.05596,0.003507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305879,0.366157,0.607724,0.291908,0.0,0.0,0.0,0.228696,0.030645,0.475774,0.296649,0.0,0.0,0.0,0.073361,0.313687,0.377259,0.363967,0.0,0.0,0.0,0.0,0.0,0.003983,0.203083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230748_cofjqd,user1,আ,2026-07-04T17:07:48.960Z,Linux Chrome desktop,output/user1/আ/আ_20260704_230748_cofjqd.png,0.057637,0.050895,0.2139,2553.717529,0.641256,0.325215,0.120255,0.077531,0.477679,0.276786,1.725806,0.0,0.0,0.0,0.0,0.0,0.0,0.027637,0.121181,0.145085,0.156329,0.181946,0.16754,0.08791,0.112316,5.5e-05,0.0,0.0,0.0,0.0,0.225953,0.279233,0.161433,0.241842,0.091539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049809,0.36762,0.406893,0.17307,0.0,0.0,0.0,0.0,0.33647,0.413492,0.419972,0.00998,0.0,0.0,0.0,0.040782,0.120761,0.125521,0.029496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230823_p4djtm,user1,আ,2026-07-04T17:08:23.458Z,Linux Chrome desktop,output/user1/আ/আ_20260704_230823_p4djtm.png,0.091079,0.080353,0.264213,4031.815674,0.619932,0.338177,0.165179,0.115191,0.611607,0.424107,1.442105,0.0,0.0,0.0,0.0,0.009581,0.09256,0.069959,0.089455,0.12451,0.114894,0.099292,0.169014,0.070475,0.131276,0.028985,0.0,0.0,0.0,0.01715,0.30791,0.167676,0.115094,0.118256,0.172983,0.086804,0.014127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-05,0.33601,0.473625,0.380695,0.471871,0.0,0.0,0.0,0.236255,0.13508,0.231936,0.454615,0.050574,0.0,0.0,0.0679,0.323212,0.312469,0.222254,0.211715,0.0,0.0,0.0,0.01134,0.0,0.0,0.017731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230900_jm6b9y,user1,আ,2026-07-04T17:09:00.548Z,Linux Chrome desktop,output/user1/আ/আ_20260704_230900_jm6b9y.png,0.108897,0.09676,0.287382,4855.007812,0.568458,0.336139,0.176959,0.15046,0.709821,0.526786,1.347458,0.0,0.0,0.01453,0.034192,0.056445,0.085362,0.070344,0.056995,0.100324,0.162068,0.11282,0.1478,0.108323,0.050797,0.0,0.0,0.0,4e-05,0.221968,0.201135,0.087599,0.07615,0.077019,0.122982,0.148972,0.05871,0.005426,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-05,0.000103,0.022538,0.032939,0.013212,0.0,1.1e-05,0.341889,0.365338,0.496909,0.669543,0.323503,0.0,0.0,0.0,0.211918,6.1e-05,0.408697,0.207372,0.0,0.0,0.0,0.280852,0.328309,0.514258,0.290847,6.5e-05,0.0,0.0,0.0,0.004136,0.035892,0.192704,8.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230941_ogdcp4,user1,আ,2026-07-04T17:09:41.134Z,Linux Chrome desktop,output/user1/আ/আ_20260704_230941_ogdcp4.png,0.129145,0.115409,0.311281,5790.775879,0.491048,0.257637,0.199032,0.129015,0.8125,0.504464,1.610619,0.025111,0.037262,0.042221,0.041143,0.052716,0.079969,0.068104,0.097592,0.124046,0.129162,0.135102,0.098946,0.068603,2.3e-05,0.0,0.0,0.008981,0.181363,0.1493,0.194426,0.121141,0.105217,0.130633,0.080892,0.028047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327688,0.270749,0.268918,0.26893,0.125689,0.0,0.0,0.092996,0.272932,0.428711,0.630752,0.651643,0.101394,0.0,0.0,0.0,0.240476,0.332973,0.686746,0.216265,0.0,0.0,0.0,0.004301,0.187508,0.289131,0.257253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_231010_4ha6y7,user1,আ,2026-07-04T17:10:10.093Z,Linux Chrome desktop,output/user1/আ/আ_20260704_231010_4ha6y7.png,0.092016,0.081814,0.26658,4105.11377,0.592344,0.32888,0.186416,0.120533,0.71875,0.46875,1.533333,0.0,0.0,0.0,0.023924,0.085437,0.068092,0.070243,0.058627,0.076959,0.13657,0.129771,0.124088,0.103954,0.069736,0.052598,0.0,0.0,0.0,0.10401,0.273098,0.1239,0.0944,0.115974,0.235683,0.042724,0.010202,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06,0.0,0.0,0.0,0.0,0.244845,0.278428,0.363614,0.569026,0.380545,2.3e-05,0.0,0.021929,0.224138,2.3e-05,0.242785,0.320378,0.110256,0.0,0.0,0.14974,0.278968,0.353527,0.226708,0.203025,0.0,0.0,0.028405,0.012531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260728_232136_0wkg0v,user1,আ,2026-07-28T17:21:36.892Z,Linux Chrome desktop,output/user1/আ/আ_20260728_232136_0wkg0v.png,0.087093,0.076723,0.258771,3849.651123,0.597013,0.373396,0.155122,0.118311,0.5625,0.424107,1.326316,0.0,0.0,0.0,0.0,0.025695,0.099902,0.069962,0.071335,0.114183,0.18215,0.126343,0.10976,0.119306,0.081363,0.0,0.0,0.0,0.0,0.0,0.179485,0.243515,0.127857,0.096562,0.125723,0.172839,0.054013,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004534,0.325965,0.385022,0.324705,0.223146,0.0,0.0,0.0,0.220565,0.099219,0.405932,0.39115,0.0,0.0,0.0,0.149004,0.300988,0.561202,0.20687,0.0,0.0,0.0,0.0,0.0,0.080545,0.080576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
