true_label,pred_অ,pred_আ,pred_ই,pred_ঈ,pred_ঔ
অ,27,15,6,0,0
আ,7,25,2,2,0
ই,5,2,12,13,0
ঈ,2,1,9,18,0
ঔ,0,0,1,0,0
