baseline,outer_fold_id,label,support,precision,recall,f1
sequence_128_flattened_with_train_augmentation,0,অ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,0,আ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,0,ই,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,0,ঈ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,0,ঔ,1,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,1,অ,12,0.555556,0.833333,0.666667
sequence_128_flattened_with_train_augmentation,1,আ,10,0.545455,0.6,0.571429
sequence_128_flattened_with_train_augmentation,1,ই,10,0.3,0.3,0.3
sequence_128_flattened_with_train_augmentation,1,ঈ,10,0.333333,0.1,0.153846
sequence_128_flattened_with_train_augmentation,1,ঔ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,2,অ,5,0.666667,0.4,0.5
sequence_128_flattened_with_train_augmentation,2,আ,5,0.666667,0.8,0.727273
sequence_128_flattened_with_train_augmentation,2,ই,5,0.571429,0.8,0.666667
sequence_128_flattened_with_train_augmentation,2,ঈ,5,0.75,0.6,0.666667
sequence_128_flattened_with_train_augmentation,2,ঔ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,3,অ,15,0.777778,0.466667,0.583333
sequence_128_flattened_with_train_augmentation,3,আ,5,0.5,0.6,0.545455
sequence_128_flattened_with_train_augmentation,3,ই,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,3,ঈ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,3,ঔ,0,0.0,0.0,0.0
sequence_128_flattened_with_train_augmentation,4,অ,16,0.727273,0.5,0.592593
sequence_128_flattened_with_train_augmentation,4,আ,16,0.6,0.75,0.666667
sequence_128_flattened_with_train_augmentation,4,ই,17,0.714286,0.294118,0.416667
sequence_128_flattened_with_train_augmentation,4,ঈ,15,0.538462,0.933333,0.682927
sequence_128_flattened_with_train_augmentation,4,ঔ,0,0.0,0.0,0.0
